ID,pop,freq
475,609,758
1671,841,2637
350,658,1037
345,845,2667
1736,514,370
972,1728,30143
1326,536,456
1006,1100,6978
836,1309,12573
486,728,1538
1498,1069,6474
244,697,1366
268,1120,7625
807,1102,6936
148,790,2147
1020,816,2346
1572,870,2991
1188,1249,10669
474,912,3601
385,844,2796
680,906,3518
740,778,1960
682,717,1428
1211,849,2748
1610,945,3984
444,748,1754
1204,570,559
1588,592,692
685,1273,11392
872,521,385
1476,534,439
1078,537,436
1290,976,4469
888,593,661
616,573,604
1118,586,638
1704,1056,6185
1408,909,3598
1016,1301,12450
306,1305,12632
1738,805,2221
837,1153,8396
586,810,2299
1142,772,1941
1086,716,1443
1686,844,2611
592,729,1579
200,1024,5562
876,1150,8026
1255,858,2885
396,865,2974
152,580,644
1428,841,2690
248,684,1223
550,961,4440
532,1001,5013
1254,818,2388
270,613,845
670,634,897
178,1154,8446
1508,774,2001
717,756,1716
1614,545,493
1674,733,1657
1203,952,4240
970,740,1694
810,588,675
336,1298,12348
304,464,249
646,580,623
1248,720,1485
904,661,1035
802,486,342
764,1008,5149
710,538,464
838,841,2611
610,657,1025
716,816,2367
1672,688,1301
713,762,1846
930,776,1948
1120,476,287
980,624,887
1554,625,827
124,693,1249
846,792,2133
1076,682,1185
1470,906,3556
1410,453,229
1202,837,2555
1719,509,375
540,858,2853
1492,926,3833
1034,948,4107
1312,625,884
1348,453,233
1484,588,628
1624,537,436
302,554,505
1146,632,919
1154,780,2028
252,562,563
704,713,1497
922,504,362
1698,557,545
1032,612,739
832,790,2188
1366,721,1439
360,466,262
650,909,3413
548,505,346
730,669,1112
1274,766,1856
483,620,827
1684,613,783
1552,608,823
1741,581,631
1510,570,599
926,469,257
422,492,313
1116,597,681
1182,610,764
1486,636,856
1380,682,1199
1030,477,278
1746,566,564
1582,684,1177
1140,606,753
138,534,443
214,438,183
666,433,188
1612,476,285
1258,501,351
884,518,381
528,593,673
224,614,761
1244,648,993
150,597,715
1632,582,610
1528,442,205
1320,438,187
984,469,260
1232,677,1189
696,504,353
978,457,226
372,576,645
902,450,219
822,549,501
608,444,215
686,437,173
292,500,329
1526,532,432
1152,541,488
1606,693,1291
238,657,1022
1520,438,205
516,488,264
118,541,444
1512,553,584
1422,514,395
146,457,232
1608,474,258
140,434,192
1750,440,185
690,492,323
868,497,292
1402,504,340
