ID,Name,pop,div
1256,PIKETON,217,II
818,LABRAE,217,II
1696,WHEELERSBURG,217,II
1584,UTICA,218,II
1580,URSULINE,220,II
1332,ROSSFORD,221,II
1168,NORTHWESTERN,222,II
620,GALION,224,II
106,AIKEN,224,II
1166,NORTHWEST,224,II
1100,NEW LEXINGTON,224,II
1710,WILLARD,225,II
108,ALEXANDER,225,II
1458,SOUTH POINT,226,II
1676,WESTFALL,228,II
264,BROOKVILLE,229,II
1644,WAYNESVILLE,229,II
606,FOSTORIA,230,II
1210,ORRVILLE,232,II
518,EDISON,232,II
318,CARLISLE,232,II
706,HEATH,232,II
1300,RIDGEWOOD,232,II
733,HORIZON SCIENCE ACADEMY,234,II
560,FAIRLESS,236,II
1148,NORTHRIDGE,236,II
1460,SOUTH RANGE,237,II
114,AMANDA-CLEARCREEK,237,II
170,BEACHWOOD,238,II
712,HIGHLAND,238,II
866,LIBERTY UNION,238,II
1560,TUSLAW,240,II
1156,NORTH UNION,240,II
622,GALLIA ACADEMY,241,II
794,JOHNSTOWN-MONROE,242,II
1364,VILLA ANGELA-ST JOSEPH,244,II
758,INDIAN VALLEY,248,II
582,BISHOP FENWICK,248,II
1252,PHILO,249,II
1448,SOUTHEAST,250,II
1636,WAVERLY,254,II
954,MARIEMONT,256,II
1566,UNION LOCAL,257,II
590,FIRELANDS,258,II
820,LAKE,258,II
1008,MEIGS,260,II
892,LONDON,265,II
378,CLEAR FORK,266,II
1184,OAK HARBOR,268,II
1596,VAN WERT,268,II
1634,WAUSEON,269,II
1392,SALEM,269,II
282,BUCKEYE LOCAL,269,II
1578,URBANA,269,II
300,CAMBRIDGE,269,II
770,JANE ADDAMS,270,II
1266,PORT CLINTON,270,II
1524,TAYLOR,270,II
514,EDGEWOOD,270,II
844,LAUREL,272,II
988,MC CLAIN,272,II
262,BROOKSIDE,272,II
890,LOGAN ELM,273,II
228,BLANCHESTER,273,II
1574,UPPER SANDUSKY,273,II
440,CRESTWOOD,274,II
1416,SHELBY,276,II
584,FIELD,277,II
570,FAIRVIEW,278,II
1344,ST CLAIRSVILLE,278,II
176,BEAVER,281,II
476,DUNBAR,281,II
751,INDIAN CREEK,282,II
1246,PERRY,282,II
1206,ONTARIO,284,II
1604,VINTON COUNTY,284,II
870,LICKING VALLEY,284,II
9360,COLUMBUS INTERNATIONAL,285,II
1002,MEADOWDALE,285,II
1568,UNIOTO,286,II
482,EAST,288,II
728,HOLY NAME,289,II
1314,RIVER VALLEY,292,II
500,EAST LIVERPOOL,294,II
830,LAKEWOOD,294,II
132,ARCHBISHOP ALTER,298,II
1062,MONROE,301,II
1724,WOODRIDGE,301,II
392,CLYDE,302,II
1080,NAPOLEON,304,II
806,KENTON RIDGE,306,II
1375,ST MARTIN de PORRES,306,II
370,CIRCLEVILLE,306,II
1598,VERMILION,306,II
192,BELMONT,309,II
652,GLENVILLE ACADEMIC CAMPUS,310,II
1436,SOUTH,312,II
742,HUGHES,312,II
448,CUYAHOGA VALLEY CHRISTIAN ACADEMY,313,II
212,BEXLEY,314,II
982,MAYSVILLE,316,II
1432,CANTON SOUTH,317,II
1208,ORANGE,317,II
998,ARCHBISHOP McNICHOLAS,318,II
828,LAKEVIEW,318,II
1022,MIAMI TRACE,318,II
1384,ST VINCENT-ST MARY,318,II
1658,WEST BRANCH,320,II
342,CENTRAL CATHOLIC,321,II
1046,MINERVA,322,II
1162,NORTHWEST,322,II
800,KENMORE,324,II
1158,NORTON,325,II
1680,WEST HOLMES,326,II
1281,RAVENNA,326,II
428,COVENTRY,330,II
320,CARROLL,332,II
286,BUCKEYE VALLEY,334,II
1264,POLAND SEMINARY,336,II
1414,SHAWNEE,337,II
384,CLEVELAND CENTRAL CATHOLIC,337,II
994,NILES MC KINLEY,344,II
1420,SHERIDAN,345,II
762,JACKSON,346,II
352,CHAMINADE JULIENNE,346,II
1732,WOODWARD,349,II
1397,SCHOOL FOR CREATIVE PERFORMING ARTS,350,II
1398,SCOTT,356,II
748,INDEPENDENCE,357,II
390,CLOVERLEAF,357,II
856,LEXINGTON,360,II
276,BUCKEYE,361,II
658,GOSHEN,362,II
1678,WEST GEAUGA,369,II
1534,TIPPECANOE,369,II
464,DEFIANCE,370,II
1472,SPRINGFIELD,372,II
526,ELIDA,377,II
967,MARTIN LUTHER KING JR.,378,II
398,COLLINWOOD,380,II
1224,PADUA FRANCISCAN,382,II
1180,NOTRE DAME-CATHEDRAL LATIN,382,II
1616,WAPAKONETA,385,II
242,BOWLING GREEN,386,II
700,HATHAWAY BROWN SCHOOL,389,II
1412,SHAWNEE,389,II
144,ATHENS,393,II
1160,NORWALK,397,II
1550,TROTWOOD-MADISON,397,II
634,GENEVA,400,II
956,MARIETTA,405,II
1700,WHITEHALL-YEARLING,408,II
976,MAUMEE,408,II
1106,NEW PHILADELPHIA,408,II
736,HOWLAND,409,II
406,COLUMBIAN,414,II
7488,STIVERS SCHOOL FOR THE ARTS,414,II
502,EASTMOOR ACADEMY,416,II
1330,ROSS,418,II
1714,WILMINGTON,420,II
184,BELLBROOK,422,II
824,LAKE CATHOLIC,422,II
1544,TRI-VALLEY,424,II
1656,WEST,426,II
1664,WESTERN BROWN,429,II
364,CHILLICOTHE,430,II
718,HILLSBORO,432,II
